category,Levels,Hard/Soft Data,Type,Data Collection Method,Item,Item Stem,Answers
Career_Development,Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Applied-jobs,"Within (time period), how many jobs did you find on (system) that you applied to? ","['0', '1', '2', '3', '4', '5', '6+']"
Career_Development,Level 2,Soft,Evaluation-Program,Survey/Questionnaire,Confidence-pre/post service,Please rate your confidence in being able to land a job or get into professional/graduate school BEFORE you engaged in (service). Please rate your confidence in being able to land a job or get into professional/graduate school AFTER you engaged in (service).,"['Extremely unconfident', 'Unconfident', 'Somewhat unconfident', 'Somewhat confident', 'Confident', 'Extremely confident']"
Career_Development,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Confidence-complete career tasks,"How confident are you in being able to complete the tasks you have not yet completed related to strengthening your career tools, applying to graduate school, and landing a job?","['Extremely confident', 'Confident', 'Somewhat confident', 'Somewhat unconfident', 'Unconfident', 'Extremely unconfident']"
Career_Development,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Confidence-relationships with professionals,"How confident are you in your ability to develop a meaningful relationship with an alum or professional who would take career-related action on your behalf (e.g., introduce you to another professional, assist you with job exploration, assist you with job application tools, connect you to an internship or job, write you a letter of recommendation)? ","['Extremely confident', 'Moderately confident', 'Somewhat confident', 'Slightly confident', 'Not at all confident']"
Career_Development,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Career interests-clarity,I am clear on the career I want to pursue after my college athletics career.,"['Strongly agree', 'Agree', 'Somewhat agree', 'Somewhat disagree', 'Disagree', 'Strongly disagree']"
Career_Development,Level 2,Soft,Assessment,Survey/Questionnaire,Interest-professionals,How interested are you in engaging with alumni and professionals?,"['Extremely interested', 'Moderately interested', 'Somewhat interested', 'Slightly interested', 'Not at all interested']"
Career_Development,Level 2,Soft,Assessment,Survey/Questionnaire,Readiness (SOC),What is your current level of readiness towards preparing for your career? ,"[""I'm regularly working on my career development and have done so for longer than 6 months "", ""I'm regularly working on my career development, but I have only begun doing so within the past 6 months"", ""I'm not currently working on my career development, but I've taken some preliminary steps towards doing so "", ""I'm not currently working on my career development and have not taken any steps towards doing so, but I'm considering it in the future "", ""I'm not currently working on my career development and have no intention in doing so ""]"
Career_Development,Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Post-graduate status-satisfaction,What is your level of satisfaction with your initial career / professional activity following graduation? ,"['Very satisfied', 'Satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Dissatisfied', 'Very dissatisfied']"
Career_Development,Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Post-graduate status criteria-desire,Which of the following criteria was it important for your post-graduation status to meet?,"['Fulfillment / alignment with my interests and favorite transferable skills to use', 'Well / high paying; Ideal geographic location', 'Sets me up for my ultimate career goals', 'Prestige', 'Other (Please describe in text box below)']"
Career_Development,Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Post-graduate status criteria-actual,Which of the following criteria does your post-graduation status actually meet?,"['Fulfillment / alignment with my interests and favorite transferable skills to use', 'Well / high paying; Ideal geographic location', 'Sets me up for my ultimate career goals', 'Prestige', 'Other (Please describe in text box below)']"
Career_Development,Level 1 ,Soft,Evaluation-Program,Survey/Questionnaire,Net Promoter Score-NPS,"On a scale of 1-10, how likely are you to recommend the (service) with (practitioner) to a teammate or another student-athlete?","['1=Not at all likely', '10=Extremely likely']"
Career_Development,Level 1 ,Soft,Evaluation-Program,Survey/Questionnaire,Service utilization,How did you utilize (service)?,['Options']
Career_Development,Level 1,Soft,Evaluation-Program,Survey/Questionnaire,"Start, Stop, Continue","What should the (unit) start doing, stop doing, and continue doing when it comes to (service)?","['Open-Ended Start', 'Open-Ended Stop', 'Open-Ended Continue']"
Career_Development,Level 1,Soft,Evaluation-Program,Survey/Questionnaire,Preparation,I feel more prepared for my career as a result of engaging in the (service) with (practitioner).,"['Strongly agree', 'Agree', 'Somewhat agree', 'Somewhat disagree', 'Disagree', 'Strongly disagree']"
Career_Development,Level 1,Soft,Evaluation-Program,Survey/Questionnaire,Preparation,How well did the (service) prepare you for your initial career/professional activity following graduation? ,"['Extremely well', 'Very well', 'Moderately well', 'Slightly well', 'Not well at all']"
Career_Development,Level 1,Soft,Evaluation-Program,Survey/Questionnaire,Value,How much value did the (service) with (practitioner) provide to you?,"['A great deal', 'A lot', 'A moderate amount', 'A little', 'None at all']"
Career_Development,Level 1,Soft,Evaluation-Program,Survey/Questionnaire,Value,How much value did the (service) with (practitioner) provide to you?,"['0=No Value', '10=Excellent Value ']"
Career_Development,Level 1,Soft,Evaluation-Program,Survey/Questionnaire,Preparation,How well did (unit/institution) prepare you for your initial career/professional activity following graduation?,"['Extremely well', 'Very well', 'Moderately well', 'Slightly well', 'Not well']"
Career_Development,Level 1,Soft,Evaluation-Program,Survey/Questionnaire,Status,How close are you to landing an opportunity post-graduation?,"['Very close', 'Somewhat close', 'Not close']"
Career_Development,Indirect/Intangible,Soft,Evaluation-Program,Survey/Questionnaire,Benefits,Please select any of the following that occurred as a result of engaging in the (service) (Please select all that apply) (The career support helped alleviate my career-related stress; The career support helped alleviate my general stress; The career support helped me focus more on school; The career support helped me focus more on sport; The career support helped me perform better in school; The career support helped me perform better in sport; Other; None of the above,"['Strongly agree', 'Agree', 'Somewhat agree', 'Somewhat disagree', 'Disagree', 'Strongly disagree']"
Career_Development,Qualitative,Soft,Assessment,Survey/Questionnaire,Feedback,Please share more about the responses provided about the (service) or any other feedback you would like to share about the (program).,['Open-Ended']
Career_Development,Demographics,-,Assessment,Survey/Questionnaire,Graduation status,Will you graduate in (semester) with your bachelor's degree?,"['Yes', 'No ', 'Maybe']"
Career_Development,Demographics,-,Assessment,Survey/Questionnaire,Professional Sports,Do you have intentions to play professional sports directly after completing your undergraduate degree? ,"['Yes', 'No', 'Maybe/Undecided']"
Career_Development,Demographics,-,Assessment,Survey/Questionnaire,Graduate School,Do you plan on attending graduate school directly after completing your undergraduate degree?,"['Yes', 'No', 'Maybe/Undecided']"
Career_Development,Demographics,-,Assessment,Survey/Questionnaire,Type of degree,What degree are you planning to pursue after completing your undergraduate degree?,"['Teaching credential', ""Master's (MA, MBA, MEd, MPP, MS, etc.)"", 'Law degree', 'Medical doctorate (DDS, DPT, DVM, DO, MD, etc.)', 'Doctorate (EdD, PhD, etc.)', 'Other (Open)', ""I don't know yet""]"
Career_Development,Demographics,-,Assessment,Survey/Questionnaire,Support,Do you need support from (unit) to land a job or get into professional/graduate school (timing)?,"['Yes', 'No', 'Maybe/Undecided']"
Career_Development,Demographics,-,Assessment,Survey/Questionnaire,Employment ,How did you find your employment? (Select all that apply),"['Alum or professional met through (program)', '(Unit) Job & Internship Board', 'Handshake', 'Online job site (Glassdoor, Monster.com, etc.)', 'Company website', 'Recruiter contacted me', 'Coach', 'Alum', 'Family member or friend', 'Career fair', 'On-campus recruiting', 'Through an internship', 'Cold email/outreach to an employer', 'Other (Please describe in text box)']"
Community_Engagement,Level 4,Hard,Performance Records,Performance Records,Value of volunteer time,$31.80/hour in contributions,['# of hours']
Community_Engagement,Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Behaviors,Please select any of the following behaviors that occurred as a result of the service experience(s) (Select all that apply) ,"['I planned an effective event or project', 'I exercised creativity and innovation', 'I effectively communicate my ideas to others', 'I worked collaboratively with others [Community Partner, my team, other student-athletes, Cameron Institute]', 'Other [please describe in text box]', 'None of the above']"
Community_Engagement,Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Role-campus/community ,"What role did you play in a campus or community project, event, or service opportunity from (time period)? Please select all that apply.","['I led and initiated a project, event, or service opportunity', 'I identified and participated a project or service opportunity that aligns with my interests', 'I participated in a project, event, or service opportunity that was presented to me', 'I did not play a role in a project, event, or service opportunity from (time period)']"
Community_Engagement,Level 2,Soft,Assessment,Survey/Questionnaire,Readiness (SOC),What is your current level of readiness towards engaging in the community?,"[""I'm regularly working on my career development and have done so for longer than 6 months "", ""I'm regularly working on my career development, but I have only begun doing so within the past 6 months"", ""I'm not currently working on my career development, but I've taken some preliminary steps towards doing so "", ""I'm not currently working on my career development and have not taken any steps towards doing so, but I'm considering it in the future "", ""I'm not currently working on my career development and have no intention in doing so ""]"
Community_Engagement,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Issue identification,I can identify an issue or a problem in my community or the world that I want to get involved in. We define an issue as a concern or a problem that you see in your community or the world; something that you might want to improve.,"['Yes (Name Issue)', 'Not Yet', 'Maybe/Unsure']"
Community_Engagement,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Issue identification,There is an issue or a problem in my community or the world that I want to get involved in. We define an issue as a concern or a problem that you see in your community or the world; something that you might want to improve.,"['Strongly agree', 'Agree', 'Somewhat agree', 'Somewhat disagree', 'Disagree', 'Strongly disagree']"
Community_Engagement,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Issue identification-positive difference,I know how to get involved to make a positive difference around that issue or problem.,"['Strongly agree', 'Agree', 'Somewhat agree', 'Somewhat disagree', 'Disagree', 'Strongly disagree']"
Community_Engagement,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Issue identification-belief,I believe I can personally make a difference in my community.,"['Strongly agree', 'Agree', 'Somewhat agree', 'Somewhat disagree', 'Disagree', 'Strongly disagree']"
Community_Engagement,Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Hours-campus/community,"Between January 2023 and now, please estimate the number of overall volunteer hours you have contributed on campus or within your community.","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 10.0]"
Community_Engagement,Level 1,Soft,Evaluation-Program,Survey/Questionnaire,Value-external community,How much value do you feel your service provided to the community or population you worked with?,"['A great deal', 'A lot', 'A moderate amount', 'A little', 'None at all']"
Community_Engagement,Level 1,Soft,Evaluation-Program,Survey/Questionnaire,Value-external community,How much value do you feel your service provided to the community or population you worked with?,"['0-No Value', '10-Excellent Value']"
Community_Engagement,Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Intent-continued engagement,How likely are you to continue to find ways to engage in volunteer service on campus or within the community?,"['Extremely likely', 'Very likely', 'Moderately likely', 'Slightly likely', 'Unlikely']"
Community_Engagement,Level 1,Soft,Evaluation-Program,Survey/Questionnaire,Student group-satisfaction,Please rate your level of satisfaction with your Student-Athlete Led Organization (SALO).,"['Extremely satisfied', 'Satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Dissatisfied', 'Extremely dissatisfied']"
Community_Engagement,Level 1,Soft,Evaluation-Program,Survey/Questionnaire,Student group-satisfaction with unit,Please rate your level of satisfaction with the (unit) support structure for SAAC and/or Student-Athlete Led Organizations.,"['Extremely satisfied', 'Satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Dissatisfied', 'Extremely dissatisfied']"
Community_Engagement,Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Intent-contribute post graduation,"I intend to give back or contribute to my community after graduation. Give back=volunteering your time, volunteering your skills, and/or contributing financially.","['Strongly agree', 'Agree', 'Somewhat agree', 'Somewhat disagree', 'Disagree', 'Strongly disagree']"
Community_Engagement,Level 1 ,Soft,Evaluation-Program,Survey/Questionnaire,Net Promoter Score-NPS,"On a scale of 1-10, how likely are you to recommend the community engagement service with (unit) to a teammate or another student-athlete?","['1=Not at all likely', '10=Extremely likely']"
Community_Engagement,Indirect/Intangible,Soft,Evaluation-Program,Survey/Questionnaire,Benefits,Please select any of the following benefits that occurred as a result of the community service experience(s) (Select all that apply),"['The community service helped me feel closer to my teammate(s) and/or coaching staff', 'The community service helped strengthen our team culture', 'The community service helped me de-stress or helped relieve stress', 'The community service helped me gain new perspective about my teammate(s) and/or coaching staff', 'The community service helped me perform better in school', 'The community service helped me perform better in sport', ""The community service helped me gain clarity on what I want to do (or don't want to do) with my career"", 'The community service helped me take steps towards my career based on the experience', 'Other (please describe in the text box below)', 'None of the above']"
Community_Engagement,Level 0,Soft,Inputs,Survey/Questionnaire,Types of engagements-campus/community,Please identify campus and community experiences you have engaged in this academic year (check all that apply),"['Internship Experience', 'Greek Life', 'Student-Athlete Affinity Group(s)', 'Main Campus Student Clubs', 'Capstone/Research Project', 'Employment Opportunity/Experience', 'Community Service-Individual', 'Community Service-Team', 'Staff-Led Campus Committee', 'Other']"
Community_Engagement,Level 0,Soft,Inputs,Survey/Questionnaire,Types of engagements,"Please identify the types of projects, events, or services you engaged in from (time period). Thank you for indicating how meaningful these experiences were for you. ","['Did not engage', 'Very meaningful', 'Meaningful', 'Somewhat meaningful, ', 'Not meaningful']"
Community_Engagement,Qualitative,Soft,Evaluation-Program,Survey/Questionnaire,Feedback,Please share more about the responses provided about the (service) or any other feedback you would like to share about the (program).,['Open-Ended']
Community_Engagement,Qualitative,Soft,Evaluation-Program,Survey/Questionnaire,Feedback,"As an Executive Board Leader in (organization), please share comments or feedback about your experience.",['Open-Ended']
Community_Engagement,Demographics,-,Assessment,Survey/Questionnaire,Issue category,What category does your issue or problem fall under? Please select up to two.,"['Educational Opportunity', 'Environmental Sustainability', 'Health & Wellness', 'Housing & Basic Needs Access', 'Social & Racial Justice', 'Other (Open)']"
Community_Engagement,Demographics,-,Assessment,Survey/Questionnaire,Student engagement group-leader,"Are you an Executive Board (E-Board) leader in (organization) (I.e., you lead a committee or hold a formal title/leadership position within your group such as President, Vice President, Marketing, Outreach, etc.)?","['Yes', 'No']"
Community_Engagement,Demographics,-,Assessment,Survey/Questionnaire,Student engagement group-leader,What is the primary group that you help lead?,"['SAAC', '(List groups)']"
Personal_Development,Isolation,Soft,Evaluation,Survey/Questionnaire,Participant/facilitator/expert estimates,"I estimate the (service) was _____[20, 65, 90%] of a factor in my (attribute).",['1-100%']
Personal_Development,Level 3,Soft,Assessment/Evaluation,Inventory,Leadership-behaviors ranking (SLPI),"Treats others with respect; Follows through on promises; Fosters cooperative relationships; Sets personal example; Paints ""big picture"" of group aspirations; Praises people; Actively listens; Looks ahead and communicates future; Provides support and appreciation; Makes certain that goals, plans, and milestones are set; Supports decisions other people make; Develops skills and abilities; Algins others with principles and standards; Encourages others; Gives people choice about how to do their work; Talks about vision of the future; Takes initiative in experimenting; Searches outside organization for innovative ways to improve; Describes ideal capabilities; Asks ""What can we learn?""; Publicly recognizes alignment with values; Communicates purpose and meaning; Shows others how their interests can be realized; Helps others take risks; Provides leadership opportunities; Builds consensus on values; Creatively recognizes people; Talks about values and principles; Celebrates accomplishments; Gets feedback about actions","['Rarely or seldom', 'Once in a while', 'Sometimes', 'Often', 'Very frequently']"
Personal_Development,Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Leadership-significant displays with examples,"In what ways did you demonstrate significant leadership that affected a team or group from (time frame)? Check all that apply. A team or group can be athletic (e.g., your sport team), academic (e.g., class project), or in life (e.g., people in your community). ","['I have not yet demonstrated leadership in this way, Sport, School, Life', 'Created a positive change that enhanced team performance', ""Positively impacted team's culture / climate"", 'Led a team through a challenging time / situation', 'Made a sacrifice for the team at the expense of my own self-interest in pursuit of team goals', 'Initiated a program / project to serve others within the Cal Athletics Community', 'Supported, empowered, or mentored a group member (e.g., teammate, peer) to help them better contribute to the team (e.g., equipped a struggling teammate to seek support)', 'Led and/or participated in an engagement group and/or extracurricular group']"
Personal_Development,Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Leadership-significant follow-up,"In 1 - 2 sentences, please describe one of the significant leadership example.",['Open-ended']
Personal_Development,Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Transferable skills-application,The next set of prompts asks about your application of various skills acquired in sport that can be transferred to school and life. Please select all that apply for each skill. (Refocusing after distraction; Overcoming adversity; Performing under pressure; Accepting personal responsibility for things within my control; Teaching / Mentoring peers; Communicating effectively; Coachable; Following through; Prioritizing goals based on current needs; Problem-solving),"['I am unsure if I applied this skill in sport, school, or life', 'I effectively applied this skill in school', 'I effectively applied this skill in life.']"
Personal_Development,Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Relationship-staff member,"Please select the staff member(s) you have a relationship with (feel comfortable connecting with, would go to for support, etc.). Please select all that apply.","['Name 1', 'Name 2', 'Name 3', 'Name 4', 'Name 5', 'etc.']"
Personal_Development,Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Selection-institution,How much of a factor was having access to the (unit) a part of your decision to attend (institution)?,"['High factor', 'Moderate factor', 'Minor factor', 'Not at all a factor']"
Personal_Development,Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Barriers to potential,What are the biggest challenges or barriers that hold you back from reaching your full potential and thriving at (institution)? Please select any that apply. Optional: Elaborate on areas we can impact.,"['Academic pressure or demands', '(City) living conditions', 'Coaches', 'Culture of team', 'Factors outside of Cal', 'Financial challenges', 'Mental health & well-being', 'Physical health', 'Relationship challenges', 'Resource limitations', 'University if not a right fit for me']"
Personal_Development,Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Communication-avoiding difficult conversations,How often have you avoided having difficult conversations with others during the (time period)? ,"['A great deal', 'A moderate amount', 'Occasionally', 'Rarely', 'Never']"
Personal_Development,Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Gratitude-expressions,"In a typical week, how often did you express gratitude in the following ways during (time period)? (Used the Gratitude Journal; Verbally expressed my gratitude about an experience; Verbally expressed my gratitude to the person I am grateful for; Wrote to another person (text messages, emails, thank you letter, etc.)","['Every day', 'Almost every day', 'Sometimes', 'Occasionally', 'Rarely', 'Never']"
Personal_Development,Level 2,Soft,Evaluation,Survey/Questionnaire,Personal branding before/after,"On a scale from 0-10, how would you rate your personal branding BEFORE (program)? On a scale from 0-10, how would you rate your personal branding AFTER (program)?","['Personal Branding Before (0-10, NA)', 'Personal Branding After (0-10, NA)']"
Personal_Development,Level 2,Soft,Evaluation,Survey/Questionnaire,Self-management,"On a scale from 0-10, how would you rate your self-management BEFORE (program)? On a scale from 0-10, how would you rate your self-management AFTER (program)?","['Self-Management Before (0-10, NA)', 'Self-Management After (0-10, NA)']"
Personal_Development,Level 2,Soft,Evaluation,Survey/Questionnaire,Time management before/after,"On a scale from 0-10, how would you rate your time management BEFORE (program)? On a scale from 0-10, how would you rate your time management AFTER (program)?","['Time Management Before (0-10, NA)', 'Time Management After (0-10, NA)']"
Personal_Development,Level 2,Soft,Evaluation,Survey/Questionnaire,Reading/Writing before/after,"On a scale from 0-10, how would you rate your reading/writing BEFORE (program)? On a scale from 0-10, how would you rate your reading/writing AFTER (program)?","['Reading/Writing Before (0-10, NA)', 'Reading/Writing After (0-10, NA)']"
Personal_Development,Level 2,Soft,Evaluation,Survey/Questionnaire,General well-being-before/after,"On a scale from 0-10, how would you rate your general well-being BEFORE working with (practitioner) one-on-one this Spring 2023? (mental rest, sleep, self-care, mood, emotions, productive thinking, coping with school or life stress, etc.) On a scale from 0-10, how would you rate your general well-being AFTER all of the work you did with (practitioner) one-on-one?","['General Well-Being Before (0-10, NA)', 'General Well-Being After (0-10, NA)']"
Personal_Development,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Gratitude (GQ-6),"Using the scale, write a number beside each statement to indicate how much you agree with it (I have so much in my life to be thankful for; If I had to list everything that I felt grateful for, it would be a very long list; When I look at the world, I don't see much to be grateful for; I am grateful to a wide variety of people; As I get older I find myself more able to appreciate the people, events, and situations that have been part of my life history; Long amounts of time can go by before I feel grateful to something or someone)","['Strongly agree', 'Agree', 'Slightly agree', 'Neutral', 'Slightly disagree', 'Disagree', 'Strongly disagree']"
Personal_Development,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Strengths-awareness,How aware are you of your signatures strengths?,"['Extremely aware', 'Moderately aware', 'Somewhat aware', 'Slightly aware', 'Not at all aware']"
Personal_Development,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Strengths-perform at full potential,How confident are you that you can apply your signature strengths to perform at your full potential? ,"['Extremely confident', 'Confident', 'Somewhat confident', 'Not confident', 'Not at all confident']"
Personal_Development,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Strengths--overcome challenges,How confident are you that you can apply your signature strengths to overcome challenges?,"['Extremely confident', 'Confident', 'Somewhat confident', 'Not confident', 'Not at all confident']"
Personal_Development,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Strengths-under/overuse,I am aware of when I'm underusing and overusing my signature strengths.,"['Strongly agree', 'Agree', 'Slightly agree', 'Slightly disagree', 'Disagree', 'Strongly disagree']"
Personal_Development,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Strengths-desired,I am aware of the strengths that I'm currently lacking which I desire to possess.,"['Strongly agree', 'Agree', 'Slightly agree', 'Slightly disagree', 'Disagree ', 'Strongly disagree']"
Personal_Development,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Communication-improvements,"To what extent did your communication improve during (time period)? (public speaking, working with others in your group to move a project forward, etc.)","['A great deal', 'A lot', 'A moderate amount', 'A little', 'None at all']"
Personal_Development,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Communication-effectiveness,"In terms of communication, how effective are you at: a. Providing instructional direction or advice to others; b. Providing feedback to others; c. Providing support and motivation to others; d. Challenging others; e. Having difficult conversations with others; f. Making amends to others; g. Apologizing to others; h. Professional communication - Verbal (e.g., sharing your 1-minute story, interviewing); i. Professional communication - Written (e.g., writing a resume or networking email)","['Very effective', 'Effective', 'Slightly effective', 'Slightly ineffective', 'Ineffective', 'Not at all effective']"
Personal_Development,Level 2,Soft,Evaluation,Survey/Questionnaire,Leadership-before/after,"On a scale from 0-10, how would you rate your leadership BEFORE working with (practitioner) one-on-one this Spring 2023? (influencing teammates, supporting or challenging teammates, building relationships with teammates or coaches, being a role model or setting a good example, communicating effectively, managing conflict, etc.) On a scale from 0-10, how would you rate your leadership AFTER all of the work you did with (practitioner) one-on-one?","['Leadership Before (0-10)', 'Leadership After (0-10)']"
Personal_Development,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Leadership improvement-student organizations,"To what extent did your leadership improve (meeting facilitation, project management, organizational mission & strategy development, group consensus building, etc.)","['A great deal', 'A lot', 'A moderate amount', 'A little', 'None at all']"
Personal_Development,Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Leadership-authentic (Walumba et al.),"How strongly do you agree with the following statements (Strongly agree, Agree, Neutral, Disagree, Strongly Disagree) ","['1. I can list my three greatest weaknesses', '2. My actions reflect my core values', ""3. I seek others' opinions before making up my own mind"", '4. I openly share my feelings with others', '5. I can list my three greatest strengths', '6. I do not allow group pressure to control me', '7. I listen closely to the ideas of those who disagree with me', '8. I let others know who I truly am as a person', '9. I seek feedback as a way of understanding who I really am as a person', '10. Other people know where I stand on controversial issues', '11. I do not emphasize my own point of view at the expense of others', '12. I rarely present a ""false"" front to others', '13. I accept the feelings I have about myself', '14. My morals guide what I do as a leader', '15. I listen very carefully to the ideas of others before making decisions', '16. I admit my mistakes to others.']"
