Levels,Hard/Soft Data,Type,Data Collection Method,Item,Item Stem,Anchors,,,,,,,,,,,,,,,
Level 2,Soft,Evaluation,Survey/Questionnaire,Personal branding before/after,"On a scale from 0-10, how would you rate your personal branding BEFORE (program)? On a scale from 0-10, how would you rate your personal branding AFTER (program)?","Personal Branding Before (0-10, NA)","Personal Branding After (0-10, NA)",,,,,,,,,,,,,,
Level 2,Soft,Evaluation,Survey/Questionnaire,Self-management,"On a scale from 0-10, how would you rate your self-management BEFORE (program)? On a scale from 0-10, how would you rate your self-management AFTER (program)?","Self-Management Before (0-10, NA)","Self-Management After (0-10, NA)",,,,,,,,,,,,,,
Level 2,Soft,Evaluation,Survey/Questionnaire,Time management before/after,"On a scale from 0-10, how would you rate your time management BEFORE (program)? On a scale from 0-10, how would you rate your time management AFTER (program)?","Time Management Before (0-10, NA)","Time Management After (0-10, NA)",,,,,,,,,,,,,,
Level 2,Soft,Evaluation,Survey/Questionnaire,Reading/Writing before/after,"On a scale from 0-10, how would you rate your reading/writing BEFORE (program)? On a scale from 0-10, how would you rate your reading/writing AFTER (program)?","Reading/Writing Before (0-10, NA)","Reading/Writing After (0-10, NA)",,,,,,,,,,,,,,
Level 2,Soft,Evaluation,Survey/Questionnaire,General well-being-before/after,"On a scale from 0-10, how would you rate your general well-being BEFORE working with (practitioner) one-on-one this Spring 2023? (mental rest, sleep, self-care, mood, emotions, productive thinking, coping with school or life stress, etc.) On a scale from 0-10, how would you rate your general well-being AFTER all of the work you did with (practitioner) one-on-one?","General Well-Being Before (0-10, NA)","General Well-Being After (0-10, NA)",,,,,,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Gratitude (GQ-6),"Using the scale, write a number beside each statement to indicate how much you agree with it (I have so much in my life to be thankful for; If I had to list everything that I felt grateful for, it would be a very long list; When I look at the world, I don't see much to be grateful for; I am grateful to a wide variety of people; As I get older I find myself more able to appreciate the people, events, and situations that have been part of my life history; Long amounts of time can go by before I feel grateful to something or someone)",Strongly agree,Agree,Slightly agree,Neutral,Slightly disagree,Disagree,Strongly disagree,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Strengths-awareness,How aware are you of your signatures strengths?,Extremely aware,Moderately aware,Somewhat aware,Slightly aware,Not at all aware,,,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Strengths-perform at full potential,How confident are you that you can apply your signature strengths to perform at your full potential? ,Extremely confident,Confident,Somewhat confident,Not confident,Not at all confident,,,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Strengths--overcome challenges,How confident are you that you can apply your signature strengths to overcome challenges?,Extremely confident,Confident,Somewhat confident,Not confident,Not at all confident,,,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Strengths-under/overuse,I am aware of when I'm underusing and overusing my signature strengths.,Strongly agree,Agree,Slightly agree,Slightly disagree,Disagree,Strongly disagree,,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Strengths-desired,I am aware of the strengths that I'm currently lacking which I desire to possess.,Strongly agree,Agree,Slightly agree,Slightly disagree,Disagree ,Strongly disagree,,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Communication-improvements,"To what extent did your communication improve during (time period)? (public speaking, working with others in your group to move a project forward, etc.)",A great deal,A lot,A moderate amount,A little,None at all,,,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Communication-effectiveness,"In terms of communication, how effective are you at: a. Providing instructional direction or advice to others; b. Providing feedback to others; c. Providing support and motivation to others; d. Challenging others; e. Having difficult conversations with others; f. Making amends to others; g. Apologizing to others; h. Professional communication - Verbal (e.g., sharing your 1-minute story, interviewing); i. Professional communication - Written (e.g., writing a resume or networking email)",Very effective,Effective,Slightly effective,Slightly ineffective,Ineffective,Not at all effective,,,,,,,,,,
Level 2,Soft,Evaluation,Survey/Questionnaire,Leadership-before/after,"On a scale from 0-10, how would you rate your leadership BEFORE working with (practitioner) one-on-one this Spring 2023? (influencing teammates, supporting or challenging teammates, building relationships with teammates or coaches, being a role model or setting a good example, communicating effectively, managing conflict, etc.) On a scale from 0-10, how would you rate your leadership AFTER all of the work you did with (practitioner) one-on-one?",Leadership Before (0-10),Leadership After (0-10),,,,,,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Leadership improvement-student organizations,"To what extent did your leadership improve (meeting facilitation, project management, organizational mission & strategy development, group consensus building, etc.)",A great deal,A lot,A moderate amount,A little,None at all,,,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Leadership-authentic (Walumba et al.),"How strongly do you agree with the following statements (Strongly agree, Agree, Neutral, Disagree, Strongly Disagree) ",1. I can list my three greatest weaknesses,2. My actions reflect my core values,3. I seek others' opinions before making up my own mind,4. I openly share my feelings with others,5. I can list my three greatest strengths,6. I do not allow group pressure to control me,7. I listen closely to the ideas of those who disagree with me,8. I let others know who I truly am as a person,9. I seek feedback as a way of understanding who I really am as a person,10. Other people know where I stand on controversial issues,11. I do not emphasize my own point of view at the expense of others,"12. I rarely present a ""false"" front to others",13. I accept the feelings I have about myself,14. My morals guide what I do as a leader,15. I listen very carefully to the ideas of others before making decisions,16. I admit my mistakes to others.
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Leadership-confidence in personal style,How confident are you that you demonstrate a personal leadership style that motivates and inspires those around you?,Extremely confident,Confident,Somewhat confident,Not confident,Not at all confident,,,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Leadership-enhancements with student-led organization,"To what extent did your ________ improve within your student-led organization during (time period)? (meeting facilitation, project management, organizational mission & strategy development, group consensus building, etc.)",A great deal,A lot,A moderate amount,A little,None at all,,,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Resilience (CD-RISC 10 unidimensional; *CD-RISC 2),Please indicate how often the following statements are true as it applies to your sport experience (or how you would normally respond) (*I am able to adapt to change; I can deal with whatever comes; I try to see the humorous side of problems; Coping with stress can strengthen me; *I tend to bounce back after illness or hardship; I can achieve goals despite obstacles; I can stay focused under pressure; I am not easily discouraged by failure; I think of myself as a strong person; I can handle unpleasant feelings),True nearly all the time,Often true,Sometimes true,Rarely true,Not true at all,,,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Cultural Competence,"This self-assessment tool is designed to explore cultural competence awareness. There are no right or wrong answers. I view human difference as positive and a cause for celebration; I have a clear sense of my own ethnic, cultural and racial identity; I am aware that in order to learn more about others I need to understand and be prepared to share my own culture; I am aware of my discomfort when I encounter differences in race, color, religion, sexual, orientation, language, and, ethnicity; I am aware of the assumptions that I hold about people of cultures different from my own; I am aware of my stereotypes as they arise and have developed personal strategies for reducing the harm they cause; I am aware of how my cultural perspective influences my judgement about what are ‘appropriate’, ‘normal’, or ‘superior’ behaviors, values, and communication styles; I accept that in cross cultural situations there can be uncertainty and that uncertainty can make me anxious. It can also mean that I do not respond quickly and take the time needed to get more information; I take any opportunity to put myself in places where I can learn about difference and create relationships; If I am a White person working with a Person of Color, I understand that I may be perceived as a person with power and racial privilege, and that I may not be seen as ‘unbiased’ or as an ally; I'm aware of the impact of the social context on the lives of culturally diverse population, and how power, privilege and social oppression influence their lives.",Never,Sometimes/Occasionally,Fairly often,Always/Very well,,,,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Understanding of Program,"Please indicate your agreement with the following statements about the (Program): I understand the program's purpose; I understand what I need to do to complete my program commitments; The program communication is effective [Teamworks, Announcements, etc.]; My team's SAAC reps promoted the Program and resources; My coach encouraged me to complete my program commitments.",Strongly agree,Agree,Somewhat disagree,Disagree,Strongly disagree,,,,,,,,,,,
Level 1,Soft,Evaluation,Survey/Questionnaire,Top Components of Program,Please select the top three most valuable components of the (program),(Name components),,,,,,,,,,,,,,,
Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Priority ,How much of a priority should the athletic department make the (service)?,Essential priority,High priority,Moderate priority,Neutral,Somewhat of a priority,Low priority,Not a priority ,,,,,,,,,
Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Summer Transition Program,How much of an effect did the summer transition program have on your successful transition from high school to college?,Major effect,Moderate effect,Neutral effect,Minor effect,No effect,,,,,,,,,,,
Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Support at New Institution (Transfers),How does this support at (University) compare to your previous institution?,Much better,Somewhat better,About the same,Somewhat worse,Much worse,,,,,,,,,,,
Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Belonging (Beyond-class Engagement Scale-BES),We would like to know how connected you feel to (institution). How much do you agree with the following statements? (I feel that I belong within the Cal Athletics Department; I feel that I belong at UC Berkeley; I feel valued as an individual at UC Berkeley; I really like being on campus and part of the campus community; I have made at least one or two close friends at UC Berkeley; I am making the most out of my UC Berkeley experience),Strongly agree,Agree,Somewhat agree,Somewhat disagree,Disagree,Strongly disagree,,,,,,,,,,
Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Reselection-institution,I would choose to be a ____ again.,Yes,No,Maybe/Unsure,,,,,,,,,,,,,
Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Experience-Life (Satisfaction with Life Scale),"Please indicate your level of agreement with the following five statements about your life experience (In most ways, my life is close to ideal; The conditions of my life are excellent; I am satisfied with my life; So far I have gotten the important things I want to in my life; If I could live my life over, I would change almost nothing)",Strongly agree,Agree,Slightly agree,Slightly disagree,Disagree,Strongly disagree,,,,,,,,,,
Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Resource,Did the (unit) connect you to at least one significant resource during (time)?,Yes,No ,Maybe/Unsure,,,,,,,,,,,,,
Level 1,Soft,Assessment//Evaluation,Survey/Questionnaire,Resource-name,What is the name of the significant resource(s) that the (unit) connected you to during (time period)? ,Open-Ended 1,Open-Ended 2,Open-Ended 3,,,,,,,,,,,,,
Level 1,Soft,Assessment,Survey/Questionnaire,Factors-program,How much of a factor was having access to the (program) as part of your decision to attend (institution)?,High factor,Moderate factor,Minor factor,Not at all a factor,,,,,,,,,,,,
Level 1,Soft,Assessment,Survey/Questionnaire,Factors-major,What factors are/were important to you in deciding on your major?,Forced choice due to athletics schedule,Intellectual curiosity,Leads to a high paying jobs,Prepares me for a fulfilling career,Parental / family desires,Prestige,Could not get into my first choice of major,Prepares me for graduate / professional school,Other,,,,,,,
Level 1,Soft,Assessment,Survey/Questionnaire,Factors-institution choice,What were the top three factors associated with Choosing Cal?,Athletics,Athletics facilities,Student-Athlete Development,Cost,Develop athletic skills,Expectation from others,NCAA division,Playing time/competition,Proximity to home,Specific coach,Social scene,Strong team connection,Other,,,
Level 1,Soft,Assessment,Survey/Questionnaire,Honesty,"When completing the items on this assessment, I responded openly and honestly:",Every time,"Usually, around 90% of the time","Frequently, around 70% of the time","Sometimes, around 50% of the time","Occasionally, around 30% of the time","Rarely, around 10% of the time",Never,,,,,,,,,
Level 1,Soft,Assessment,Survey/Questionnaire,Utilization-factors,What were the top 1-3 reasons you were prompted/inspired to use the (unit) during (timing)?,Positive experience(s) with (unit),Hearing from a staff member at practice,Reviewing the (collateral),Teamworks news post or message,Instagram,Twitter/X,Encouraged by a coach,Had a need that I wanted to explore/address,Other,Did not use the (unit),,,,,,
Level 1,Soft,Assessment,Survey/Questionnaire,Utilization-barriers,What are any barriers to engaging with (unit)? (Please select any that apply),Did not find it valuable,Different priorities,Does not currently fit my needs/not interested,Time demands,Uncertain how to engage with the Cameron Institute,Other (Please describe in text box below),No barriers exist,,,,,,,,,
Level 1,Soft,Assessment,Survey/Questionnaire,Sport Administrator,Which of the following best describes your relationship with your team's Sport Supervisor?,"I know who my Sport Supervisor is, and I feel comfortable talking with them","I know who my Sport Supervisor is, though I don't feel comfortable talking to them yet","I know who my Sport Supervisor is, but I have not talked with them yet",I don't know who my Sport Supervisor is,Other,,,,,,,,,,,
Level 0,Soft,Assessment/Evaluation,Survey/Questionnaire,Frequency,How often do you use (app),Every day,Almost every day,Sometimes,Occasionally,Rarely,"Never, but I have activated by subscription and downloaded the app","Never, I haven't activated my subscription nor have I downloaded the app",,,,,,,,,
Level 0,Soft,Assessment,Survey/Questionnaire,Recruiting presentation,"During your recruiting visit, did you receive a presentation from the (unit)?",Yes,No ,Unsure,,,,,,,,,,,,,
Qualitative,Soft,Assessment,Survey/Questionnaire,Feedback on needs,Please share ideas and feedback on what is needed that we are currently not offering.,Open-Ended,,,,,,,,,,,,,,,
Qualitative,Soft,Assessment/Evaluation,Survey/Questionnaire,Testimonials,Please share testimonials or experiences with the (unit) from (timing). ,Open-Ended,,,,,,,,,,,,,,,
Follow-up,Soft,Assessment/Evaluation,Survey/Questionnaire,Testimonials-willingness to share,"I would be willing to share a version of this testimonial or experience with others (e.g., on a video, with Bryan Cameron directly)",Yes,No ,Maybe/Unsure,,,,,,,,,,,,,
Demographics,-,Assessment,Survey/Questionnaire,Participation within department,"Would you like to be contacted to represent (institution) throughout the year? (i.e. participate in student-athlete panels, speak at events, be featured in media projects, or serve on special committees) ",Yes,No,Maybe/Undecided,,,,,,,,,,,,,
Demographics,-,Assessment,Survey/Questionnaire,Delivery,Please select your delivery preference for (services),100% remote,Mostly remote,Equal mix,Mostly in-person,100% in-person,Unsure,No preference,,,,,,,,,
Demographics,-,Assessment,Survey/Questionnaire,Academic Year,Please select your (year) academic year:,First-year,Sophomore,Junior,Senior,5th-Year - Undergraduate,5th-Year - In a Certificate Program,Graduate Student,,,,,,,,,
Demographics,-,Assessment,Survey/Questionnaire,First semester,Is (timing) your first semester at (institution)?,Yes,No,,,,,,,,,,,,,,
Demographics,-,Assessment,Survey/Questionnaire,Identities,"Please select the following primary demographic with which you identify. If you identify with more than one demographic, please select ""Other, including multi-ethnic identities"" and follow the instructions provided.",American Indian,Asian,Black or African American,Caucasian,Middle Eastern,Pacific Islander,"Other, including multi-ethnic identifies if applicable. Please describe or list the races and/or ethnicities you identify with in the text box.",Prefer not to disclose,,,,,,,,
Demographics,-,Assessment,Survey/Questionnaire,Affiliations,Please select any of the following affiliations / characteristics with which you identify:,Differently-Abled,English is not my first language,First-Generation College Student (Parent(s) has / have not graduated from a four-year college or university),,First-Generation Graduate or Professional Student (Parent(s) has / have not graduated from a graduate-level program),Have dependent children who currently reside with me (Please enter number in box below),Have dependent children who currently do not reside with me (Please enter number in box below),Current or Former International Student,LGBTQIA+,Low Income (Pell Grant or Dream Act Scholarship eligible as verified by the Financial Aid and Scholarships Office),"Religiously or Spiritually Affiliated (Optional: Please enter religion, denomination, church, or faith in box below)",Transfer student,None of the above,Prefer not to disclose,Other (Please describe in text box below),
Demographics,-,Assessment,Survey/Questionnaire,Sport,Please select your primary sport this (semester):,Baseball,Basketball - Men's,Basketball - Women's,Beach Volleyball,Cross Country - Men's,Cross Country - Women's,Diving - Men's,Diving - Women's,Field Hockey,Football,Golf - Men's,Golf - Women's,Gymnastics - Men's,Gymnastics - Women's,Lacrosse,(additional sports)
Demographics,-,Assessment,Survey/Questionnaire,Academic Major,What is your academic major?,(Majors from Institution),,,,,,,,,,,,,,,
Demographics,-,Assessment,Survey/Questionnaire,Leadership Role,Which of the following best describes your leadership role on your team?,"Formal Leader (e.g., Team Captain, Team Council)",Informal Leader (Emerge as leader though experience/interactions with teammates),Team Member,Other_____,,,,,,,,,,,,
