Levels,Hard/Soft Data,Type,Data Collection Method,Item,Item Stem,Anchors,,,,,,,,,,
Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Experience-Sport (Satisfaction with Sport Scale),"Please indicate your level of agreement with the following five statements about your sport experience (In most ways, my collegiate sport experience is close to ideal; The conditions of my collegiate sport experience are excellent; I am satisfied with my collegiate sport experience; So far I have gotten the important things I want to in my collegiate sport experience; If I could live my collegiate sport experience over, I would change almost nothing)",Strongly agree,Agree,Slightly agree,Slightly disagree,Disagree,Strongly disagree,,,,,
Level 1,Soft,Assessment,Survey/Questionnaire,Satisfaction-academic major,How satisfied are you with your academic major? ,Extremely satisfied,Satisfied,Somewhat satisfied,Somewhat dissatisfied,Dissatisfied,Extremely dissatisfied,,,,,
Level 0,Soft,Assessment/Evaluation,Survey/Questionnaire,Time-training mind,"How often do you purposefully train your mind (mental skills, mental performance tools, etc.) on your own (outside of scheduled mental performance services) to improve your performance? ",7 days per week on average for at least 10 minutes each day,6 days per week on average for at least 10 minutes each day,5 days per week on average for at least 10 minutes each day,4 days per week on average for at least 10 minutes each day,3 days per week on average for at least 10 minutes each day,2 days per week on average for at least 10 minutes each day,1 day per week on average for at least 10 minutes each day,Never,,,
Level 0,Soft,Assessment/Evaluation,Survey/Questionnaire,Quality hours practiced-sport,"In a typical week, how many quality hours (defined as focused on the task at hand with limited distractions) did you practice your sport during the (time period)? (0, 1, 2, 3, 4, 5+)",0,1,2,3,4,5+,,,,,
Level 0,Soft,Assessment/Evaluation,Survey/Questionnaire,Quality hours studied-school,"In a typical week, how many quality hours (defined as focused on the task at hand with limited distractions) did you study during the (time period)? ",0,1,2,3,4,5+,,,,,
Qualitative,Soft,Evaluation-Program,Survey/Questionnaire,Feedback,Please share more about the responses provided about the (service) or any other feedback you would like to share about the (program).,Open-Ended,,,,,,,,,,
Demographics,-,Assessment,Survey/Questionnaire,Scholarship,Please indicate your current athletics scholarship award amount (if any). ,Full athletic scholarship,High partial athletics scholarship (51% and above),Moderate partial athletics scholarship (50% and below),Walk-on,Unsure,,,,,,
Demographics,-,Assessment,Survey/Questionnaire,Graduation time,How important is it to you to graduate within four years of starting college?,Essential,Very important,Somewhat important,Not that important,,,,,,,
Demographics,-,Assessment,Survey/Questionnaire,Graduate degree-type,What is the highest academic degree or credential that you plan to earn eventually? ,Teaching credential,"Master's (MA, MBA, MEd, MPP, MS, etc.)",Law degree (LLB or JD),"Medical doctorate (DDS, DPT, DVM, DO, MD, etc.)","Doctorate (EdD, PhD, etc.)",I don't know yet,Other,,,,
Demographics,-,Assessment,Survey/Questionnaire,Post-season,Did you team participate in postseason competition in the (timing) academic year?,Yes,No,,,,,,,,,
